tournament,feature,coef,std_err,t_stat,p_value,[0.025,0.975],r_squared,adj_r_squared,n_obs
noisy,CC_to_C_rate,0.2789832719489267,0.019572419372041353,14.253898133178486,9.766197214706669e-46,0.24061827583818898,0.31734826805966443,0.04225,0.04194,12358
noisy,CD_to_C_rate,-0.12946912119040768,0.023940992657099463,-5.40784265066866,6.49761081485977e-08,-0.17639720262569852,-0.08254103975511683,0.04225,0.04194,12358
noisy,Cooperation_rating,-0.38715646731738723,0.04776895345762124,-8.104771808761885,5.780090155040028e-16,-0.48079107011123223,-0.29352186452354223,0.04225,0.04194,12358
noisy,DC_to_C_rate,-0.13208475314585688,0.0209292400877259,-6.311015239550857,2.8669152229617704e-10,-0.17310932958188457,-0.09106017670982917,0.04225,0.04194,12358
noisy,const,3.2440791012474017,0.016840349573158272,192.63727793502096,0.0,3.2110693882631915,3.277088814231612,0.04225,0.04194,12358
prob_noisy,CC_to_C_rate,0.13781960812069508,0.020734826549333042,6.646769279346983,3.121894903185158e-11,0.09717611255681398,0.17846310368457619,0.01773,0.01741,12358
prob_noisy,CD_to_C_rate,-0.12436221422366987,0.02279629380057103,-5.455369864576614,4.9812609483013373e-08,-0.1690465072777751,-0.07967792116956467,0.01773,0.01741,12358
prob_noisy,Cooperation_rating,-0.23866182508241665,0.04988455556899486,-4.784282877940562,1.7358378498611877e-06,-0.3364433381397245,-0.14088031202510878,0.01773,0.01741,12358
prob_noisy,DC_to_C_rate,-0.09100552813954982,0.020060236404904078,-4.536612944267293,5.770364469603137e-06,-0.13032672175519405,-0.051684334523905584,0.01773,0.01741,12358
prob_noisy,const,3.3473040764579673,0.01798237863878187,186.1435655258071,0.0,3.3120558082993474,3.3825523446165873,0.01773,0.01741,12358
probabilistic,CC_to_C_rate,0.2564908340402429,0.01901670107973738,13.487661869678242,3.6147627819778807e-41,0.2192151324984415,0.29376653558204435,0.03357,0.03326,12358
probabilistic,CD_to_C_rate,-0.16245248820308725,0.019276309096413466,-8.42757228007477,3.918038305751292e-17,-0.20023706196762073,-0.12466791443855377,0.03357,0.03326,12358
probabilistic,Cooperation_rating,-0.21338633554499392,0.038651636664055,-5.520758083277689,3.443539906524374e-08,-0.28914957472881986,-0.13762309636116798,0.03357,0.03326,12358
probabilistic,DC_to_C_rate,-0.08863087048994665,0.015399725022219295,-5.755354096392419,8.851521548053428e-09,-0.1188167345547556,-0.05844500642513771,0.03357,0.03326,12358
probabilistic,const,3.3415676316194824,0.018450593966973912,181.10894628112257,0.0,3.305401588355822,3.377733674883143,0.03357,0.03326,12358
standard,CC_to_C_rate,0.4873949103335365,0.017831530874171286,27.33331836581238,9.144367909921398e-160,0.4524423273323104,0.5223474933347626,0.09206,0.09177,12358
standard,CD_to_C_rate,-0.18440293540932284,0.019588894830132358,-9.41364671199661,5.633367388070487e-21,-0.22280022598880095,-0.14600564482984474,0.09206,0.09177,12358
standard,Cooperation_rating,-0.21482508679409879,0.035416426473862644,-6.065690646475581,1.3522844974833311e-09,-0.28424680917283063,-0.14540336441536691,0.09206,0.09177,12358
standard,DC_to_C_rate,-0.15381944196401612,0.016002361100281904,-9.612296647980676,8.456988646779317e-22,-0.1851865667790463,-0.12245231714898594,0.09206,0.09177,12358
standard,const,3.154224674429452,0.018408109273322693,171.3497365533679,0.0,3.1181419077947923,3.1903074410641117,0.09206,0.09177,12358
